ID Compra,ID Item,Modalidade,Descrição do Item,Cód. Catálogo,Unidade Medida,Sigla Unidade Medida,Unidade Fornecimento,Sigla Unid. Fornecimento,Quantidade,Preço Unitário (R$),Fornecedor,Cód. UASG,UASG,Município,UF,Órgão,Data da Compra,Objeto da Compra,Descrição Detalhada
98931105900052024,6451060,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,KG,EMBALAGEM,EMB,"1.116,00","6,89",L F M ALBUQUERQUE,989311,MTO - PREFEITURA MUN.DE COLINAS DO TOCANTINS,COLINAS DO TOCANTINS,TO,MTO - PREFEITURA MUN.DE COLINAS DO TOCANTINS,2024-10-29,"Objeto: Pregão Eletrônico -  Constitui o objeto deste Edital o Registro de Preços para futura, eventual e parcelada aquisição de gêneros alimentícios perecíveis e não perecíveis, materiais para copa, cozinha e produtos de higiene, limpeza e diversos para suprir as necessidades da Prefeitura Municipal e dos Fundos Municipais deAssistência Social, Educação e Saúde de Colinas do Tocantins/TO, para o período estimado de doze (12) meses, conforme Edital seus anexos.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
93201106000012024,6436027,6,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,KG,EMBALAGEM,EMB,"600,00","14,40",ROBERTA KELLES PASSOS DE MELO,932011,EPB-ESCOLA ESTADUAL 1° E 2° GRAU ANA RIBEIRO,SALGADO DE SÃO FÉLIX,PB,EPB-ESCOLA ESTADUAL 1° E 2° GRAU ANA RIBEIROB,2024-10-26,AQUISIÇÃO DA ALIMENTAÇÃO ESCOLAR ,"Leguminosa variedade: feijão preto, tipo: tipo 1, apresentação: orgânica"
92918205000032023,4164680,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"270,00","8,22",C A LOGISTICA DE ALIMENTOS LTDA,929182,ASSOCIAÇAO A.E.E.NOSSA S.DO CARMO/ALIANÇA/TO,ALIANÇA DO TOCANTINS,TO,ASSOCIAÇAO A.E.E.NOSSA S.DO CARMO/ALIANÇA/TO,2024-10-24,Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios destinados a atender alimentação da Escola Estadual Nossa Senhora do Carmo noano de 2024.,"LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
98787105900802024,6094511,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"700,00","6,96",OTIS DISTRIBUICAO LTDA,987871,PREFEITURA MUNICIPAL DE SAO JOAO - PR,SÃO JOÃO,PR,PREFEITURA DE SAO JOAO - PR,2024-10-22,Objeto: Pregão Eletrônico -  Aquisição de merenda escolar para a Secretaria de Educação do Município de São João/PR,"LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
93196506000012024,6395985,6,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,KG,EMBALAGEM,EMB,"240,00","10,00",ALBEANE SOUSA DE ALMEIDA 11555247725,931965,EPB-CONSELHO E.E.E.E.F.M JAIRO A. CALUETE,PARARI,PB,EPB-CONSELHO E.E.E.E.F.M JAIRO A. CALUETE,2024-10-21,"Aquisição de Gêneros Alimentícios para Alimentação Escolar para 108 alunos matriculados 
na Escola EEFM Jairo Aires Caluête, com alimentação de qualidade e com as condições técnicas apontadas pela 
Resolução n.º 06/2020 – FNDE – considerando o ano letivo de 2024.","Leguminosa apresentação: orgânica, tipo: tipo 1, variedade: feijão preto"
98745905900522024,6381638,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,KG,EMBALAGEM,EMB,"5.000,00","6,53",NUTRICESTAS ALIMENTOS LTDA,987459,PREFEITURA MUNICIPAL DE BOCAIUVA DO SUL - PR,BOCAIÚVA DO SUL,PR,PREFEITURA DE BOCAIUVA DO SUL - PR,2024-10-21,"Objeto: Pregão Eletrônico -  Aquisição de merenda escolar, conforme especificações constantesno edital e seus anexos","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
93167706000012024,6361116,6,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,KG,EMBALAGEM,EMB,"144,00","9,49",FRANCISCO ERMANO VIRGINIO DE SOUZA,931677,CONSELHO E E E ENS FU E M JOSELITA BRASILEIRO,IGARACY,PB,CONSELHO E E E ENS FU E M JOSELITA BRASILEIRO,2024-10-17,"Aquisição de Gêneros Alimentícios para Alimentação Escolar para 368 alunos matriculados
na Escola , com alimentação de qualidade e com as condições técnicas apontadas pela
Resolução n.º 06/2020 – FNDE – considerando o ano letivo de 2024","Leguminosa apresentação: orgânica, tipo: tipo 1, variedade: feijão preto"
98464305900492024,5398950,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"500,00","5,25",CAMILA SOARES DA SILVA LTDA,984643,PREFEITURA MUNICIPAL DE ITAGUARA - MG,ITAGUARA,MG,PREFEITURA MUNICIPAL DE ITAGUARA - MG,2024-10-17,"Objeto: Pregão Eletrônico -  Contratação de fornecedores de alimentos para atendimento de todas as secretarias, merenda escolar, atividades e eventos realizados pela administração municipal.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
98049905900042024,6126576,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"400,00","10,29",RSC IMPULSE REPRESENTACOES LTDA,980499,PREFEITURA MUNICIPAL DE NOVA TIMBOTEUA - PA,NOVA TIMBOTEUA,PA,PREFEITURA MUNICIPAL DE NOVA TIMBOTEUA - PA,2024-10-17,"Objeto: Pregão Eletrônico -  Registro de preços que objetiva a Futura e Eventual Contratação de Pessoa Jurídica para a aquisição de Gêneros Alimentícios para atender as necessidades da Prefeitura MUNICIPAL, Secretarias e Fundos.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
92869605000022023,4195855,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"504,00","6,56",C A LOGISTICA DE ALIMENTOS LTDA,928696,ETO-ASSOCIAÇAO DE APOIO COL. EST. JOSE SEABRA,GURUPI,TO,ETO-ASSOCIAÇÃO DE APOIO COL. EST. JOSE SEABRA,2024-10-16,"Objeto: Pregão Eletrônico -  Aquisição de Gêneros Alimentícios destinados a atender os alunosmatriculados no ano letivo de 2024 do Colégio Estadual Girassol de Tempo Integral José SeabraLemos, por meio do Programa Nacional de Alimentação Escolar/PNAE.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
